 - , Teste 1 (s), Teste 2 (s), Teste 3 (s), Teste 4 (s), Teste 5 (s), Teste 6 (s), Teste 7 (s), Teste 8 (s), Teste 9 (s), Teste 10 (s)
bfs3_token_3/, 0.205, 0.020, 0.022, 0.019, 0.019, 0.020, 0.019, 0.025, 0.019, 0.028
random_token_3/, 9.078, 1.347, 1.333, 1.310, 1.351, 1.339, 1.329, 1.303, 1.322, 1.313
damerau_levenshtein_2_rule_token_3/, 1.238, 0.117, 0.119, 0.130, 0.122, 0.117, 0.122, 0.120, 0.126, 0.126
damerau_levenshtein_3_rule_token_3/, 1.260, 0.124, 0.127, 0.125, 0.122, 0.122, 0.123, 0.122, 0.130, 0.123
